Buy,N.Val,N.Lot,N.Freq,Avg,N.Foreign
EMTK,-28.4B,-233.0K,"-4,425","1,227",39.8B
DSNG,-28.4B,-177.4K,-853,"1,605",5.3B
SCMA,-27.6B,-867.2K,"-6,472",318,23.2B
BKSL,-24.5B,-1.9M,"-4,525",134,-5.7B
CPRO,-21.4B,-3.7M,"-5,731",61,-7.1B
ARCI,-20.9B,-290.0K,"-1,745",736,7.2B
ITMG,-20.4B,"-9,198","-2,169","22,204",-10.1B
INKP,-20.3B,-26.3K,"-1,140","7,715",-5.8B
PNLF,-18.9B,-723.4K,"-1,831",261,-6.5B
PWON,-18.8B,-508.0K,"-4,706",370,8.5B
CTRA,-17.8B,-176.8K,"-3,564","1,015",7.1B
BBKP,-17.7B,-2.2M,"-3,161",80,1.9B
HUMI,-17.2B,-1.0M,"-6,705",184,-7.1B
PGEO,-16.6B,-114.3K,"-5,393","1,453",6.3B
GZCO,-16.1B,-828.4K,"-6,588",209,-14.7B
AMRT,-16.0B,-72.3K,"-1,407","2,211",-583.5M
SMRA,-15.7B,-348.8K,"-2,930",451,-2.1B
BRIS,-15.5B,-57.3K,"-1,728","2,707",5.2B
BBYB,-14.9B,-449.0K,"-3,223",333,2.9B
ERAA,-14.5B,-330.9K,"-2,093",437,8.7B
AADI,-14.4B,-21.0K,"-1,647","6,869",-579.8M
PTBA,-14.1B,-58.8K,"-2,246","2,407",-616.6M
HRUM,-13.7B,-152.2K,"-2,263",900,3.5B
BSDE,-13.6B,-123.9K,"-2,608","1,099",2.1B
NCKL,-13.5B,-135.7K,"-3,816","1,039",28.9B
CARS,-12.9B,-963.8K,-895,137,-37.0M
IMPC,-12.3B,-102.8K,-101,"1,195",-1.9B
ADMR,-11.4B,-114.6K,"-2,964",999,-1.9B
UNVR,-11.2B,-66.3K,"-1,248","1,705",3.3B
TEBE,-10.9B,-57.8K,"-1,713","1,913",-4.9B
TPIA,-10.3B,-12.4K,"-1,257","8,299",-14.1B
ENRG,-10.2B,-188.4K,"-2,115",555,4.3B
AKRA,-10.1B,-85.1K,"-2,451","1,195",-7.0B
ISAT,-10.0B,-49.5K,"-1,086","2,028",9.5B
BUKA,-9.2B,-539.2K,"-3,655",173,11.8B
ATLA,-8.9B,-1.4M,"-4,014",75,470.6M
LPKR,-8.7B,-859.4K,"1,164",102,5.1B
BEST,-8.5B,-666.0K,"-1,623",126,1.9B
TINS,-8.5B,-85.1K,"-1,571","1,001",-3.6B
RATU,-8.1B,-13.6K,"-3,087","6,068",1.0B
KLBF,-8.1B,-63.2K,"-5,514","1,228",-12.3B
INDF,-8.1B,-10.8K,"-1,147","7,506",3.1B
PNBN,-8.1B,-70.0K,-612,"1,155",156.3M
RAJA,-7.8B,-28.9K,"-4,198","2,618",2.5B
CPIN,-7.7B,-17.9K,"-1,660","4,317",-13.3B
ARTO,-7.7B,-34.5K,"-1,505","2,232",63.3M
SMBR,-7.7B,-268.5K,"-2,453",288,-3.6B
MLPL,-7.6B,-552.5K,"-2,509",137,2.8B
JSMR,-7.5B,-22.5K,-700,"3,346",-7.7B
ELSA,-7.4B,-149.1K,"-2,161",495,4.8B
MTEL,-7.3B,-123.9K,"-1,435",590,-3.7B
SMDR,-7.3B,-220.2K,"-1,553",332,-2.7B
ACES,-7.2B,-160.2K,"-1,143",455,-14.2B
ASLC,-7.0B,-623.7K,"-2,431",113,3.1B
SRTG,-6.9B,-37.2K,"-1,009","1,847",-1.8B
INDY,-6.7B,-51.6K,"-1,164","1,297",-3.7B
INCO,-6.3B,-17.0K,"-1,445","3,716",-1.8B
SIDO,-6.3B,-121.0K,"-1,070",523,3.0B
MEDC,-6.2B,-53.2K,"-2,110","1,169",-6.4B
MARK,-6.2B,-96.6K,"-2,034",643,-974.0M
ADHI,-6.1B,-225.0K,"-1,593",271,1.1B
PTPP,-6.1B,-160.5K,"-1,556",383,-2.8B
NISP,-6.1B,-44.2K,-262,"1,376",-747.9M
MINA,-6.0B,-368.8K,"-2,498",190,-2.4B
KBLV,-5.9B,-288.0K,"-2,408",204,1.4B
ADCP,-5.9B,-1.1M,"-2,937",56,72.3M
ASRI,-5.4B,-309.5K,"-2,447",172,2.2B
ESSA,-5.4B,-97.5K,"-1,584",562,1.0B
IOTF,-5.1B,-503.5K,"-2,477",102,333.4M
SGRO,-5.0B,-12.0K,-332,"4,250",1.6B
MSIN,-5.0B,-99.3K,72,512,-3.0B
INET,-5.0B,-210.1K,"-1,086",243,2.1B
SOLA,-5.0B,-311.8K,"-1,599",164,-534.5M
